FY,Fiscal Quarter,Fiscal Week,LOB,Category,Region,Business Unit,Warranty Type,Core/Upsell,Service Type,GCFA Type,W/O Type,Series,ASU,APOS,Renewals,Expiring,New Contract,APOS Renewal,Dispatches,SRs
FY23,2023-Q4,2023-W50,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,29169,23335,5834,191,143,20,25,36
FY23,2023-Q4,2023-W51,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,29375,23500,5875,0,173,33,21,38
FY23,2023-Q4,2023-W52,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,31307,25046,6261,0,1900,32,24,40
FY24,2024-Q1,2024-W01,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,28888,23110,5778,2533,85,29,23,41
FY24,2024-Q1,2024-W02,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,28963,23170,5793,34,85,24,24,35
FY24,2024-Q1,2024-W03,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,29038,23230,5808,75,116,34,24,31
FY24,2024-Q1,2024-W04,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,29112,23290,5822,58,99,33,23,37
FY24,2024-Q1,2024-W05,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,29350,23480,5870,0,211,27,26,41
FY24,2024-Q1,2024-W06,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,29507,23606,5901,0,137,20,20,41
FY24,2024-Q1,2024-W07,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Labour Only,non-GCFA,Break fix,Actual,29663,23730,5933,0,134,22,22,38
FY24,2024-Q1,2024-W08,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,29820,23856,5964,18,142,33,21,41
FY24,2024-Q1,2024-W09,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,29976,23981,5995,0,132,24,21,37
FY24,2024-Q1,2024-W10,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,30296,24237,6059,0,291,29,27,40
FY24,2024-Q1,2024-W11,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Labour Only,non-GCFA,Break fix,Actual,30534,24427,6107,0,218,20,27,36
FY24,2024-Q1,2024-W12,Storage Array C,Storage,EMEA,Unit A,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,30772,24618,6154,0,205,33,22,42
FY24,2024-Q1,2024-W13,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,31378,25102,6276,0,580,26,23,36
FY24,2024-Q2,2024-W14,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,31114,24891,6223,419,131,24,24,44
FY24,2024-Q2,2024-W15,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,31194,24955,6239,42,98,24,21,40
FY24,2024-Q2,2024-W16,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,31273,25018,6255,80,135,24,23,41
FY24,2024-Q2,2024-W17,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,31352,25082,6270,82,137,24,23,40
FY24,2024-Q2,2024-W18,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,31602,25282,6320,0,221,29,27,37
FY24,2024-Q2,2024-W19,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,Unknown,Break fix,Actual,31766,25413,6353,0,138,26,28,39
FY24,2024-Q2,2024-W20,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,31931,25545,6386,29,160,34,25,41
FY24,2024-Q2,2024-W21,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,32095,25676,6419,0,139,25,23,41
FY24,2024-Q2,2024-W22,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,32260,25808,6452,0,133,32,23,37
FY24,2024-Q2,2024-W23,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,32594,26075,6519,0,308,26,24,36
FY24,2024-Q2,2024-W24,Storage Array C,Storage,EMEA,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,32844,26275,6569,0,218,32,22,37
FY24,2024-Q2,2024-W25,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,33094,26475,6619,0,214,36,25,43
FY24,2024-Q2,2024-W26,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,33728,26982,6746,0,608,26,29,46
FY24,2024-Q3,2024-W27,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,33444,26755,6689,415,96,35,24,42
FY24,2024-Q3,2024-W28,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Labour Only,Unknown,Break fix,Actual,33524,26819,6705,98,147,31,26,36
FY24,2024-Q3,2024-W29,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,33603,26882,6721,45,97,27,26,47
FY24,2024-Q3,2024-W30,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,33682,26946,6736,63,103,39,30,47
FY24,2024-Q3,2024-W31,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,33931,27145,6786,0,218,31,28,44
FY24,2024-Q3,2024-W32,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34096,27277,6819,0,134,31,26,40
FY24,2024-Q3,2024-W33,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34260,27408,6852,9,148,25,23,47
FY24,2024-Q3,2024-W34,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34425,27540,6885,0,127,38,31,41
FY24,2024-Q3,2024-W35,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34589,27671,6918,19,152,31,28,38
FY24,2024-Q3,2024-W36,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34924,27939,6985,0,308,27,31,48
FY24,2024-Q3,2024-W37,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,35174,28139,7035,0,216,34,29,46
FY24,2024-Q3,2024-W38,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,35424,28339,7085,0,223,27,27,41
FY24,2024-Q3,2024-W39,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,36057,28846,7211,0,596,37,30,39
FY24,2024-Q4,2024-W40,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,35818,28654,7164,432,153,40,28,46
FY24,2024-Q4,2024-W41,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,35920,28736,7184,100,178,24,32,46
FY24,2024-Q4,2024-W42,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,36021,28817,7204,26,103,24,30,47
FY24,2024-Q4,2024-W43,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,36122,28898,7224,60,131,30,28,45
FY24,2024-Q4,2024-W44,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,36430,29144,7286,0,277,31,29,48
FY24,2024-Q4,2024-W45,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,36634,29307,7327,27,189,42,30,43
FY24,2024-Q4,2024-W46,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,36839,29471,7368,0,179,26,25,40
FY24,2024-Q4,2024-W47,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,37043,29634,7409,13,188,29,27,39
FY24,2024-Q4,2024-W48,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,37247,29798,7449,0,176,28,31,44
FY24,2024-Q4,2024-W49,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,37658,30126,7532,0,376,35,29,43
FY24,2024-Q4,2024-W50,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,37965,30372,7593,0,280,27,29,41
FY24,2024-Q4,2024-W51,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,38273,30618,7655,0,277,31,26,41
FY24,2024-Q4,2024-W52,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,39044,31235,7809,0,736,35,34,48
FY25,2025-Q1,2025-W01,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,38709,30967,7742,499,130,34,29,51
FY25,2025-Q1,2025-W02,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,38781,31025,7756,109,143,38,31,48
FY25,2025-Q1,2025-W03,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,38851,31081,7770,86,130,26,26,41
FY25,2025-Q1,2025-W04,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,38923,31138,7785,91,135,28,35,53
FY25,2025-Q1,2025-W05,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,39166,31333,7833,0,206,37,33,43
FY25,2025-Q1,2025-W06,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts + Labour,Unknown,Part/s dispatch,Actual,39323,31458,7865,80,199,38,31,53
FY25,2025-Q1,2025-W07,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,39480,31584,7896,85,199,43,30,47
FY25,2025-Q1,2025-W08,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,39638,31710,7928,9,142,25,28,46
FY25,2025-Q1,2025-W09,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,39795,31836,7959,12,128,41,36,44
FY25,2025-Q1,2025-W10,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,40125,32100,8025,0,294,36,37,52
FY25,2025-Q1,2025-W11,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,40368,32294,8074,0,215,28,28,57
FY25,2025-Q1,2025-W12,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,40612,32490,8122,0,198,46,34,51
FY25,2025-Q1,2025-W13,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,41243,32994,8249,0,597,34,36,48
FY25,2025-Q2,2025-W14,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,40957,32766,8191,536,210,40,29,56
FY25,2025-Q2,2025-W15,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,41033,32826,8207,128,171,33,36,51
FY25,2025-Q2,2025-W16,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,41109,32887,8222,140,184,32,28,48
FY25,2025-Q2,2025-W17,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,GCFA,Part/s dispatch,Actual,41184,32947,8237,135,164,46,30,55
FY25,2025-Q2,2025-W18,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,41440,33152,8288,0,217,39,35,44
FY25,2025-Q2,2025-W19,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,Unknown,Part/s dispatch,Actual,41606,33285,8321,1,137,30,36,48
FY25,2025-Q2,2025-W20,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,41772,33418,8354,7,140,33,29,47
FY25,2025-Q2,2025-W21,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,41937,33550,8387,15,146,34,32,53
FY25,2025-Q2,2025-W22,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,Unknown,Part/s dispatch,Actual,42103,33682,8421,82,212,36,36,57
FY25,2025-Q2,2025-W23,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,42449,33959,8490,0,299,47,32,58
FY25,2025-Q2,2025-W24,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,GCFA,Break fix,Actual,42705,34164,8541,4,211,49,38,46
FY25,2025-Q2,2025-W25,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,42960,34368,8592,0,216,39,33,47
FY25,2025-Q2,2025-W26,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,43621,34897,8724,0,632,29,32,51
FY25,2025-Q3,2025-W27,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,43314,34651,8663,469,128,34,34,57
FY25,2025-Q3,2025-W28,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,43390,34712,8678,161,198,39,33,55
FY25,2025-Q3,2025-W29,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,43465,34772,8693,105,140,40,33,52
FY25,2025-Q3,2025-W30,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,43541,34833,8708,101,146,31,36,55
FY25,2025-Q3,2025-W31,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,43797,35038,8759,0,224,32,36,54
FY25,2025-Q3,2025-W32,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Labour Only,non-GCFA,Break fix,Actual,43963,35170,8793,45,180,31,39,51
FY25,2025-Q3,2025-W33,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,44128,35302,8826,96,210,51,30,58
FY25,2025-Q3,2025-W34,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,44294,35435,8859,0,138,28,37,54
FY25,2025-Q3,2025-W35,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,44460,35568,8892,49,177,38,40,62
FY25,2025-Q3,2025-W36,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,44805,35844,8961,0,312,33,30,51
FY25,2025-Q3,2025-W37,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,45061,36049,9012,1,210,47,33,61
FY25,2025-Q3,2025-W38,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,45317,36254,9063,0,214,42,40,53
FY25,2025-Q3,2025-W39,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,45978,36782,9196,0,609,52,39,58
FY25,2025-Q4,2025-W40,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,45718,36574,9144,454,164,30,37,61
FY25,2025-Q4,2025-W41,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,45817,36654,9163,109,156,52,32,49
FY25,2025-Q4,2025-W42,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,45916,36733,9183,157,227,29,31,52
FY25,2025-Q4,2025-W43,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,46015,36812,9203,139,196,42,36,62
FY25,2025-Q4,2025-W44,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,46332,37066,9266,0,287,30,33,65
FY25,2025-Q4,2025-W45,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,Unknown,Break fix,Actual,46540,37232,9308,26,195,39,40,65
FY25,2025-Q4,2025-W46,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,46747,37398,9349,35,209,33,40,50
FY25,2025-Q4,2025-W47,Storage Array C,Storage,EMEA,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,46955,37564,9391,9,178,39,43,57
FY25,2025-Q4,2025-W48,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,47163,37730,9433,20,192,36,40,63
FY25,2025-Q4,2025-W49,Storage Array C,Storage,EMEA,Unit B,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,47589,38071,9518,0,374,52,33,50
FY25,2025-Q4,2025-W50,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,47906,38325,9581,0,262,55,35,53
FY25,2025-Q4,2025-W51,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,48222,38578,9644,0,276,40,37,60
FY25,2025-Q4,2025-W52,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,49028,39222,9806,0,754,52,40,64
FY26,2026-Q1,2026-W01,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,48665,38932,9733,624,224,37,38,66
FY26,2026-Q1,2026-W02,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,48732,38986,9746,203,231,39,43,59
FY26,2026-Q1,2026-W03,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,48799,39039,9760,226,243,50,34,53
FY26,2026-Q1,2026-W04,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Parts Only,Unknown,Part/s dispatch,Actual,48866,39093,9773,183,214,36,41,55
FY26,2026-Q1,2026-W05,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,49115,39292,9823,0,198,51,37,52
FY26,2026-Q1,2026-W06,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,49273,39418,9855,123,228,53,33,58
FY26,2026-Q1,2026-W07,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,49431,39545,9886,129,235,52,37,59
FY26,2026-Q1,2026-W08,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,49589,39671,9918,64,190,32,41,57
FY26,2026-Q1,2026-W09,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,49747,39798,9949,89,204,43,43,57
FY26,2026-Q1,2026-W10,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,50086,40069,10017,0,304,35,37,65
FY26,2026-Q1,2026-W11,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,50335,40268,10067,0,204,45,35,71
FY26,2026-Q1,2026-W12,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,50584,40467,10117,0,213,36,40,69
FY26,2026-Q1,2026-W13,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,51242,40994,10248,0,606,52,35,64
FY26,2026-Q2,2026-W14,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,GCFA,Break fix,Actual,50932,40746,10186,561,192,59,44,61
FY26,2026-Q2,2026-W15,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,51005,40804,10201,116,153,36,39,68
FY26,2026-Q2,2026-W16,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,51077,40862,10215,151,179,44,40,57
FY26,2026-Q2,2026-W17,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,51149,40919,10230,167,198,41,43,57
FY26,2026-Q2,2026-W18,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,51410,41128,10282,0,223,38,36,67
FY26,2026-Q2,2026-W19,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,51577,41262,10315,92,206,53,45,72
FY26,2026-Q2,2026-W20,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Labour Only,non-GCFA,Break fix,Actual,51744,41395,10349,78,185,60,36,62
FY26,2026-Q2,2026-W21,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,51911,41529,10382,86,206,47,39,71
FY26,2026-Q2,2026-W22,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,52078,41662,10416,34,167,34,47,56
FY26,2026-Q2,2026-W23,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,52434,41947,10487,0,299,57,46,64
FY26,2026-Q2,2026-W24,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,52696,42157,10539,0,227,35,41,75
FY26,2026-Q2,2026-W25,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,52957,42366,10591,7,223,45,38,70
FY26,2026-Q2,2026-W26,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,53645,42916,10729,0,631,57,36,65
FY26,2026-Q3,2026-W27,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Labour Only,non-GCFA,Break fix,Actual,53315,42652,10663,641,255,56,45,64
FY26,2026-Q3,2026-W28,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,53387,42710,10677,173,194,51,38,64
FY26,2026-Q3,2026-W29,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,Unknown,Part/s dispatch,Actual,53459,42767,10692,170,203,39,41,71
FY26,2026-Q3,2026-W30,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,53531,42825,10706,130,166,36,41,72
FY26,2026-Q3,2026-W31,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,53793,43034,10759,23,229,56,38,60
FY26,2026-Q3,2026-W32,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,53959,43167,10792,121,238,49,40,58
FY26,2026-Q3,2026-W33,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,54126,43301,10825,92,204,55,41,71
FY26,2026-Q3,2026-W34,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,54293,43434,10859,28,159,36,37,58
FY26,2026-Q3,2026-W35,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,54460,43568,10892,114,235,46,44,65
FY26,2026-Q3,2026-W36,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Labour Only,non-GCFA,Break fix,Actual,54817,43854,10963,0,303,54,43,68
FY26,2026-Q3,2026-W37,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,55078,44062,11016,45,269,37,39,61
FY26,2026-Q3,2026-W38,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,55340,44272,11068,66,266,62,48,75
FY26,2026-Q3,2026-W39,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,56028,44822,11206,0,632,56,47,69
FY26,2026-Q4,2026-W40,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,55746,44597,11149,513,186,45,51,64
FY26,2026-Q4,2026-W41,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,55843,44674,11169,176,209,64,38,69
FY26,2026-Q4,2026-W42,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,55940,44752,11188,156,191,62,44,73
FY26,2026-Q4,2026-W43,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,56037,44830,11207,166,221,42,50,79
FY26,2026-Q4,2026-W44,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,56363,45090,11273,13,293,46,41,59
