FY,Fiscal Quarter,Fiscal Week,LOB,Category,Region,Business Unit,Warranty Type,Core/Upsell,Service Type,GCFA Type,W/O Type,Series,ASU,APOS,Renewals,Expiring,New Contract,APOS Renewal,Dispatches,SRs,Segment
FY24,2024-Q1,2024-W03,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,46,14,0,0,Field
FY24,2024-Q1,2024-W04,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,29112,23290,5822,58,59,20,23,37,Tech
FY24,2024-Q1,2024-W04,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,40,13,0,0,Field
FY24,2024-Q1,2024-W05,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,29350,23480,5870,0,127,16,26,41,Tech
FY24,2024-Q1,2024-W05,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,84,11,0,0,Field
FY24,2024-Q1,2024-W06,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,29507,23606,5901,0,82,12,20,41,Tech
FY24,2024-Q1,2024-W06,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,55,8,0,0,Field
FY24,2024-Q1,2024-W07,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Labour Only,non-GCFA,Break fix,Actual,29663,23730,5933,0,80,13,22,38,Tech
FY24,2024-Q1,2024-W07,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,54,9,0,0,Field
FY24,2024-Q1,2024-W08,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,29820,23856,5964,18,85,20,21,41,Tech
FY24,2024-Q1,2024-W08,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,0,0,0,0,57,13,0,0,Field
FY24,2024-Q1,2024-W09,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,29976,23981,5995,0,79,14,21,37,Tech
FY24,2024-Q1,2024-W09,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,53,10,0,0,Field
FY24,2024-Q1,2024-W10,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,30296,24237,6059,0,175,17,27,40,Tech
FY24,2024-Q1,2024-W10,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,116,12,0,0,Field
FY24,2024-Q1,2024-W11,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Labour Only,non-GCFA,Break fix,Actual,30534,24427,6107,0,131,12,27,36,Tech
FY24,2024-Q1,2024-W11,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,87,8,0,0,Field
FY24,2024-Q1,2024-W12,Storage Array C,Storage,EMEA,Unit A,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,30772,24618,6154,0,123,20,22,42,Tech
FY24,2024-Q1,2024-W12,Storage Array C,Storage,EMEA,Unit A,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,82,13,0,0,Field
FY24,2024-Q1,2024-W13,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,31378,25102,6276,0,348,16,23,36,Tech
FY24,2024-Q1,2024-W13,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,232,10,0,0,Field
FY24,2024-Q2,2024-W14,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,31114,24891,6223,419,79,14,24,44,Tech
FY24,2024-Q2,2024-W14,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,52,10,0,0,Field
FY24,2024-Q2,2024-W15,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,31194,24955,6239,42,59,14,21,40,Tech
FY24,2024-Q2,2024-W15,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,39,10,0,0,Field
FY24,2024-Q2,2024-W16,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,31273,25018,6255,80,81,14,23,41,Tech
FY24,2024-Q2,2024-W16,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,54,10,0,0,Field
FY24,2024-Q2,2024-W17,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,31352,25082,6270,82,82,14,23,40,Tech
FY24,2024-Q2,2024-W17,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,0,0,0,0,55,10,0,0,Field
FY24,2024-Q2,2024-W18,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,31602,25282,6320,0,133,17,27,37,Tech
FY24,2024-Q2,2024-W18,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,88,12,0,0,Field
FY24,2024-Q2,2024-W19,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,Unknown,Break fix,Actual,31766,25413,6353,0,83,16,28,39,Tech
FY24,2024-Q2,2024-W19,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,Unknown,Break fix,Actual,0,0,0,0,55,10,0,0,Field
FY24,2024-Q2,2024-W20,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,31931,25545,6386,29,96,20,25,41,Tech
FY24,2024-Q2,2024-W20,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,64,14,0,0,Field
FY24,2024-Q2,2024-W21,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,32095,25676,6419,0,83,15,23,41,Tech
FY24,2024-Q2,2024-W21,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,56,10,0,0,Field
FY24,2024-Q2,2024-W22,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,32260,25808,6452,0,80,19,23,37,Tech
FY24,2024-Q2,2024-W22,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,53,13,0,0,Field
FY24,2024-Q2,2024-W23,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,32594,26075,6519,0,185,16,24,36,Tech
FY24,2024-Q2,2024-W23,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,123,10,0,0,Field
FY24,2024-Q2,2024-W24,Storage Array C,Storage,EMEA,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,32844,26275,6569,0,131,19,22,37,Tech
FY24,2024-Q2,2024-W24,Storage Array C,Storage,EMEA,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,87,13,0,0,Field
FY24,2024-Q2,2024-W25,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,33094,26475,6619,0,128,22,25,43,Tech
FY24,2024-Q2,2024-W25,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,0,0,0,0,86,14,0,0,Field
FY24,2024-Q2,2024-W26,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,33728,26982,6746,0,365,16,29,46,Tech
FY24,2024-Q2,2024-W26,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,243,10,0,0,Field
FY24,2024-Q3,2024-W27,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,33444,26755,6689,415,58,21,24,42,Tech
FY24,2024-Q3,2024-W27,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,38,14,0,0,Field
FY24,2024-Q3,2024-W28,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Labour Only,Unknown,Break fix,Actual,33524,26819,6705,98,88,19,26,36,Tech
FY24,2024-Q3,2024-W28,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Labour Only,Unknown,Break fix,Actual,0,0,0,0,59,12,0,0,Field
FY24,2024-Q3,2024-W29,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,33603,26882,6721,45,58,16,26,47,Tech
FY24,2024-Q3,2024-W29,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,39,11,0,0,Field
FY24,2024-Q3,2024-W30,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,33682,26946,6736,63,62,23,30,47,Tech
FY24,2024-Q3,2024-W30,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,41,16,0,0,Field
FY24,2024-Q3,2024-W31,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,33931,27145,6786,0,131,19,28,44,Tech
FY24,2024-Q3,2024-W31,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,87,12,0,0,Field
FY24,2024-Q3,2024-W32,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34096,27277,6819,0,80,19,26,40,Tech
FY24,2024-Q3,2024-W32,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,54,12,0,0,Field
FY24,2024-Q3,2024-W33,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34260,27408,6852,9,89,15,23,47,Tech
FY24,2024-Q3,2024-W33,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,59,10,0,0,Field
FY24,2024-Q3,2024-W34,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34425,27540,6885,0,76,23,31,41,Tech
FY24,2024-Q3,2024-W34,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,51,15,0,0,Field
FY24,2024-Q3,2024-W35,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34589,27671,6918,19,91,19,28,38,Tech
FY24,2024-Q3,2024-W35,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,61,12,0,0,Field
FY24,2024-Q3,2024-W36,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,34924,27939,6985,0,185,16,31,48,Tech
FY24,2024-Q3,2024-W36,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,123,11,0,0,Field
FY24,2024-Q3,2024-W37,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,35174,28139,7035,0,130,20,29,46,Tech
FY24,2024-Q3,2024-W37,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,86,14,0,0,Field
FY24,2024-Q3,2024-W38,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,35424,28339,7085,0,134,16,27,41,Tech
FY24,2024-Q3,2024-W38,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,89,11,0,0,Field
FY24,2024-Q3,2024-W39,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,36057,28846,7211,0,358,22,30,39,Tech
FY24,2024-Q3,2024-W39,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,238,15,0,0,Field
FY24,2024-Q4,2024-W40,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,35818,28654,7164,432,92,24,28,46,Tech
FY24,2024-Q4,2024-W40,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,0,0,0,0,61,16,0,0,Field
FY24,2024-Q4,2024-W41,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,35920,28736,7184,100,107,14,32,46,Tech
FY24,2024-Q4,2024-W41,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,71,10,0,0,Field
FY24,2024-Q4,2024-W42,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,36021,28817,7204,26,62,14,30,47,Tech
FY24,2024-Q4,2024-W42,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,41,10,0,0,Field
FY24,2024-Q4,2024-W43,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,36122,28898,7224,60,79,18,28,45,Tech
FY24,2024-Q4,2024-W43,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,52,12,0,0,Field
FY24,2024-Q4,2024-W44,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,36430,29144,7286,0,166,19,29,48,Tech
FY24,2024-Q4,2024-W44,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,111,12,0,0,Field
FY24,2024-Q4,2024-W45,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,36634,29307,7327,27,113,25,30,43,Tech
FY24,2024-Q4,2024-W45,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,76,17,0,0,Field
FY24,2024-Q4,2024-W46,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,36839,29471,7368,0,107,16,25,40,Tech
FY24,2024-Q4,2024-W46,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,72,10,0,0,Field
FY24,2024-Q4,2024-W47,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,37043,29634,7409,13,113,17,27,39,Tech
FY24,2024-Q4,2024-W47,Storage Array C,Storage,EMEA,Unit B,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,75,12,0,0,Field
FY24,2024-Q4,2024-W48,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,37247,29798,7449,0,106,17,31,44,Tech
FY24,2024-Q4,2024-W48,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,70,11,0,0,Field
FY24,2024-Q4,2024-W49,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,37658,30126,7532,0,226,21,29,43,Tech
FY24,2024-Q4,2024-W49,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,150,14,0,0,Field
FY24,2024-Q4,2024-W50,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,37965,30372,7593,0,168,16,29,41,Tech
FY24,2024-Q4,2024-W50,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,112,11,0,0,Field
FY24,2024-Q4,2024-W51,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,38273,30618,7655,0,166,19,26,41,Tech
FY24,2024-Q4,2024-W51,Storage Array C,Storage,EMEA,Unit B,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,111,12,0,0,Field
FY24,2024-Q4,2024-W52,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,39044,31235,7809,0,442,21,34,48,Tech
FY24,2024-Q4,2024-W52,Storage Array C,Storage,EMEA,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,294,14,0,0,Field
FY25,2025-Q1,2025-W01,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,38709,30967,7742,499,78,20,29,51,Tech
FY25,2025-Q1,2025-W01,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,0,0,0,0,52,14,0,0,Field
FY25,2025-Q1,2025-W02,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,38781,31025,7756,109,86,23,31,48,Tech
FY25,2025-Q1,2025-W02,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,57,15,0,0,Field
FY25,2025-Q1,2025-W03,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,38851,31081,7770,86,78,16,26,41,Tech
FY25,2025-Q1,2025-W03,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,52,10,0,0,Field
FY25,2025-Q1,2025-W04,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,38923,31138,7785,91,81,17,35,53,Tech
FY25,2025-Q1,2025-W04,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,0,0,0,0,54,11,0,0,Field
FY25,2025-Q1,2025-W05,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,39166,31333,7833,0,124,22,33,43,Tech
FY25,2025-Q1,2025-W05,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,82,15,0,0,Field
FY25,2025-Q1,2025-W06,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts + Labour,Unknown,Part/s dispatch,Actual,39323,31458,7865,80,119,23,31,53,Tech
FY25,2025-Q1,2025-W06,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts + Labour,Unknown,Part/s dispatch,Actual,0,0,0,0,80,15,0,0,Field
FY25,2025-Q1,2025-W07,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,39480,31584,7896,85,119,26,30,47,Tech
FY25,2025-Q1,2025-W07,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,80,17,0,0,Field
FY25,2025-Q1,2025-W08,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,39638,31710,7928,9,85,15,28,46,Tech
FY25,2025-Q1,2025-W08,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,0,0,0,0,57,10,0,0,Field
FY25,2025-Q1,2025-W09,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,39795,31836,7959,12,77,25,36,44,Tech
FY25,2025-Q1,2025-W09,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,51,16,0,0,Field
FY25,2025-Q1,2025-W10,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,40125,32100,8025,0,176,22,37,52,Tech
FY25,2025-Q1,2025-W10,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,118,14,0,0,Field
FY25,2025-Q1,2025-W11,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,40368,32294,8074,0,129,17,28,57,Tech
FY25,2025-Q1,2025-W11,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,0,0,0,0,86,11,0,0,Field
FY25,2025-Q1,2025-W12,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,40612,32490,8122,0,119,28,34,51,Tech
FY25,2025-Q1,2025-W12,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,79,18,0,0,Field
FY25,2025-Q1,2025-W13,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,41243,32994,8249,0,358,20,36,48,Tech
FY25,2025-Q1,2025-W13,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,0,0,0,0,239,14,0,0,Field
FY25,2025-Q2,2025-W14,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,40957,32766,8191,536,126,24,29,56,Tech
FY25,2025-Q2,2025-W14,Storage Array C,Storage,EMEA,Unit B,Premium Flex,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,0,0,0,0,84,16,0,0,Field
FY25,2025-Q2,2025-W15,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,41033,32826,8207,128,103,20,36,51,Tech
FY25,2025-Q2,2025-W15,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,0,0,0,0,68,13,0,0,Field
FY25,2025-Q2,2025-W16,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,41109,32887,8222,140,110,19,28,48,Tech
FY25,2025-Q2,2025-W16,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,74,13,0,0,Field
FY25,2025-Q2,2025-W17,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,GCFA,Part/s dispatch,Actual,41184,32947,8237,135,98,28,30,55,Tech
FY25,2025-Q2,2025-W17,Storage Array C,Storage,EMEA,Unit B,Premium Plus,Core,Parts Only,GCFA,Part/s dispatch,Actual,0,0,0,0,66,18,0,0,Field
FY25,2025-Q2,2025-W18,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,41440,33152,8288,0,130,23,35,44,Tech
FY25,2025-Q2,2025-W18,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts + Labour,GCFA,Part/s dispatch,Actual,0,0,0,0,87,16,0,0,Field
FY25,2025-Q2,2025-W19,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,Unknown,Part/s dispatch,Actual,41606,33285,8321,1,82,18,36,48,Tech
FY25,2025-Q2,2025-W19,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,Unknown,Part/s dispatch,Actual,0,0,0,0,55,12,0,0,Field
FY25,2025-Q2,2025-W20,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,41772,33418,8354,7,84,20,29,47,Tech
FY25,2025-Q2,2025-W20,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,56,13,0,0,Field
FY25,2025-Q2,2025-W21,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,41937,33550,8387,15,88,20,32,53,Tech
FY25,2025-Q2,2025-W21,Storage Array C,Storage,EMEA,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,58,14,0,0,Field
FY25,2025-Q2,2025-W22,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,Unknown,Part/s dispatch,Actual,42103,33682,8421,82,127,22,36,57,Tech
FY25,2025-Q2,2025-W22,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Core,Parts Only,Unknown,Part/s dispatch,Actual,0,0,0,0,85,14,0,0,Field
FY25,2025-Q2,2025-W23,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,42449,33959,8490,0,179,28,32,58,Tech
FY25,2025-Q2,2025-W23,Storage Array C,Storage,EMEA,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,120,19,0,0,Field
FY25,2025-Q2,2025-W24,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,GCFA,Break fix,Actual,42705,34164,8541,4,127,29,38,46,Tech
FY25,2025-Q2,2025-W24,Storage Array C,Storage,EMEA,Unit A,Premium Plus,Upsell,Labour Only,GCFA,Break fix,Actual,0,0,0,0,84,20,0,0,Field
FY25,2025-Q2,2025-W25,Storage Array C,Storage,EMEA,Unit A,Basic,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,42960,34368,8592,0,130,23,33,47,Tech
